Id,MSSubClass,MSZoning,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,KitchenQual,TotRmsAbvGrd,GarageCars,GarageArea,SaleCondition,SalePrice
222,60,RL,Gilbert,2Story,6,5,2002,2002,VinylSd,1010,1010,1257,2267,0,Gd,8,2,390,Normal,200000
223,60,RL,NWAmes,2Story,6,6,1975,1975,VinylSd,713,811,741,1552,1,TA,6,2,434,Normal,179900
224,20,RL,NAmes,1Story,4,6,1971,1971,HdBoard,864,864,0,864,0,TA,4,2,576,Abnorml,97000
225,20,RL,NridgHt,1Story,10,5,2003,2003,VinylSd,2392,2392,0,2392,0,Ex,8,3,968,Normal,386250
226,160,RM,BrDale,2Story,5,5,1971,1971,HdBoard,630,630,672,1302,0,TA,6,1,280,Abnorml,112000
227,60,RL,NoRidge,2Story,7,5,1995,1995,VinylSd,1203,1214,1306,2520,0,Gd,9,3,721,Abnorml,290000
228,160,RM,BrDale,2Story,6,6,1970,1970,HdBoard,483,483,504,987,0,TA,5,1,280,Normal,106000
229,20,RL,Sawyer,1Story,5,5,1967,1967,HdBoard,912,912,0,912,0,TA,5,1,336,Normal,125000
230,120,RL,Blmngtn,1Story,7,5,2005,2006,VinylSd,1373,1555,0,1555,0,Gd,7,2,430,Normal,192500
231,20,RL,NAmes,1Story,6,6,1959,1959,MetalSd,1194,1194,0,1194,1,TA,6,1,312,Normal,148000
232,60,RL,NoRidge,2Story,8,5,1995,1996,VinylSd,1462,1490,1304,2794,1,Ex,9,3,810,Normal,403000
233,160,RM,BrDale,2Story,6,5,1972,1972,HdBoard,483,483,504,987,0,TA,5,1,288,Normal,94500
234,20,RL,CollgCr,1Story,5,6,1976,1976,HdBoard,894,894,0,894,1,TA,5,1,308,Normal,128200
235,60,RL,Gilbert,2Story,6,5,2002,2002,VinylSd,860,860,1100,1960,1,Gd,8,2,440,Normal,216500
236,160,RM,BrDale,2Story,6,3,1971,1971,HdBoard,483,483,504,987,0,TA,5,1,264,Normal,89500
237,20,RL,CollgCr,1Story,7,5,2004,2004,VinylSd,1414,1414,0,1414,0,Gd,6,2,494,Normal,185500
238,60,RL,SawyerW,2Story,7,7,1993,2003,HdBoard,996,1014,730,1744,0,Gd,7,2,457,Normal,194500
239,20,RL,NridgHt,1Story,8,5,2007,2007,VinylSd,1694,1694,0,1694,0,Gd,7,3,818,Partial,318000
240,50,RL,Edwards,1.5Fin,6,4,1945,1950,VinylSd,735,798,689,1487,0,TA,7,1,220,Normal,113000
241,20,FV,Somerst,1Story,8,5,2008,2008,VinylSd,1566,1566,0,1566,1,Gd,7,2,750,Normal,262500
242,30,RM,OldTown,1Story,5,9,1945,1997,VinylSd,686,866,0,866,0,Gd,4,0,0,Normal,110500
243,50,RM,OldTown,1.5Fin,5,4,1900,1950,Wd Sdng,540,889,551,1440,0,TA,6,1,352,Normal,79000
244,160,RL,SawyerW,2Story,6,6,1980,1980,Plywood,626,626,591,1217,0,TA,6,1,288,Normal,120000
245,60,RL,SawyerW,2Story,7,5,1994,2002,VinylSd,948,1222,888,2110,1,Gd,8,2,463,Normal,205000
246,20,RL,NWAmes,1Story,7,5,1988,1988,Wd Sdng,1845,1872,0,1872,0,TA,6,2,604,Normal,241500
247,190,RM,OldTown,2Story,6,8,1910,1950,AsbShng,1020,908,1020,1928,0,Fa,9,1,440,Normal,137000
248,20,RL,NAmes,1Story,6,5,1954,1954,Wd Sdng,1367,1375,0,1375,0,TA,5,2,451,Normal,140000
249,60,RL,CollgCr,2Story,7,5,2003,2003,VinylSd,840,840,828,1668,0,Gd,8,2,500,Normal,180000
250,50,RL,ClearCr,1.5Fin,6,7,1958,2006,Wd Sdng,1444,1444,700,2144,0,Gd,7,2,389,Normal,277000
251,30,RL,BrkSide,1Story,3,2,1940,1966,Wd Sdng,728,1306,0,1306,0,Fa,6,0,0,Normal,76500
252,120,RM,Crawfor,1Story,8,5,2006,2007,VinylSd,1573,1625,0,1625,1,Gd,5,2,538,Family,235000
253,60,RL,SawyerW,2Story,6,5,2004,2004,VinylSd,798,798,842,1640,0,Gd,6,2,520,Normal,173000
254,80,RL,NAmes,SLvl,6,7,1964,1991,HdBoard,1302,1302,0,1302,0,Gd,7,1,309,Normal,158000
255,20,RL,NAmes,1Story,5,6,1957,1957,MetalSd,1314,1314,0,1314,1,TA,5,1,294,Normal,145000
256,60,RL,Gilbert,2Story,7,5,1999,1999,VinylSd,975,1005,1286,2291,0,Gd,8,2,429,Normal,230000
257,60,FV,Somerst,2Story,6,5,2003,2003,VinylSd,864,864,864,1728,0,Gd,7,2,673,Normal,207500
258,20,RL,CollgCr,1Story,7,5,2006,2006,VinylSd,1604,1604,0,1604,1,Gd,8,2,660,Abnorml,220000
259,60,RL,CollgCr,2Story,7,5,2001,2001,VinylSd,963,963,829,1792,0,Gd,7,2,564,Normal,231500
260,20,RM,OldTown,1Story,5,5,1956,1956,BrkFace,0,882,0,882,0,TA,4,1,308,Normal,97000
261,80,RL,NAmes,SLvl,6,5,1962,1962,Wd Sdng,1362,1382,0,1382,1,TA,6,2,884,Normal,176000
262,60,RL,CollgCr,2Story,8,5,2007,2007,CemntBd,1482,1482,1092,2574,0,Ex,10,3,868,Partial,276000
263,80,RL,Sawyer,SLvl,6,7,1977,1995,HdBoard,506,1212,0,1212,1,TA,6,2,492,Normal,151000
264,50,RM,OldTown,1.5Fin,5,7,1929,2001,Wd Sdng,926,926,0,1316,1,TA,6,2,484,Normal,130000
265,30,RM,OldTown,1Story,5,5,1925,2004,Wd Sdng,680,764,0,764,0,TA,4,2,504,Normal,73000
266,20,RL,NWAmes,1Story,6,6,1981,1981,MetalSd,1422,1422,0,1422,0,Gd,7,2,576,Normal,175500
267,60,RL,Gilbert,2Story,6,5,1997,1997,VinylSd,802,802,709,1511,1,TA,8,2,413,Normal,185000
268,75,RL,SWISU,2.5Fin,5,8,1939,1997,Wd Sdng,720,1052,720,2192,0,Gd,8,1,240,Normal,179500
269,30,RM,IDOTRR,1Story,5,6,1940,1955,VinylSd,740,778,0,778,0,TA,4,1,924,Normal,120500
270,20,RL,Edwards,1Story,6,7,1976,1976,HdBoard,1143,1113,0,1113,1,TA,6,1,504,Normal,148000
271,60,FV,Somerst,2Story,8,5,2006,2006,VinylSd,1095,1095,844,1939,0,Gd,8,3,1053,Partial,266000
272,20,RL,ClearCr,1Story,7,7,1954,2005,Plywood,1385,1363,0,1363,1,TA,5,2,439,Normal,241500
273,60,RL,NoRidge,2Story,8,7,1999,2007,VinylSd,1152,1164,1106,2270,0,Gd,9,3,671,Normal,290000
274,20,RL,NAmes,1Story,6,6,1958,1988,Wd Sdng,1240,1632,0,1632,1,TA,6,1,338,Normal,139000
275,20,RL,Mitchel,1Story,5,7,1982,1982,HdBoard,816,816,0,816,0,TA,5,1,264,Normal,124500
276,50,RL,BrkSide,1.5Fin,7,7,1925,2007,Wd Sdng,952,952,596,1548,0,Ex,5,2,672,Normal,205000
277,20,RL,Mitchel,1Story,7,5,2003,2003,VinylSd,1560,1560,0,1560,0,Gd,7,2,573,Normal,201000
278,20,RL,Gilbert,1Story,4,5,1951,1951,VinylSd,864,864,0,864,0,TA,4,2,400,Normal,141000
279,20,RL,NridgHt,1Story,9,5,2006,2007,CemntBd,2121,2121,0,2121,0,Ex,8,3,732,Partial,415298
280,60,RL,ClearCr,2Story,7,5,1977,1977,Plywood,1160,1156,866,2022,0,TA,8,2,505,Normal,192000
281,60,RL,SawyerW,2Story,7,6,1989,1989,Plywood,807,1175,807,1982,0,Gd,7,2,575,Normal,228500
282,20,FV,Somerst,1Story,6,5,2006,2006,VinylSd,1262,1262,0,1262,0,Gd,5,2,572,Partial,185000
283,120,RL,NridgHt,1Story,7,5,2007,2008,VinylSd,1314,1314,0,1314,1,Gd,6,2,626,Normal,207500
284,20,RL,Somerst,1Story,8,5,2008,2009,VinylSd,1468,1468,0,1468,0,Gd,6,3,898,Partial,244600
285,120,RL,SawyerW,1Story,6,5,1992,1992,Plywood,1575,1575,0,1575,1,Gd,5,2,529,Normal,179200
286,160,FV,Somerst,2Story,7,5,2006,2007,MetalSd,625,625,625,1250,0,Gd,5,2,528,Partial,164700
287,50,RL,NAmes,1.5Fin,6,7,1962,1981,Wd Sdng,912,1085,649,1734,0,Gd,7,2,440,Normal,159000
288,20,RL,NAmes,1Story,4,4,1971,1971,HdBoard,858,858,0,858,0,TA,5,0,0,Normal,88000
289,20,RL,Sawyer,1Story,5,5,1967,1967,MetalSd,882,900,0,900,0,TA,5,1,280,Normal,122000
290,70,RL,BrkSide,2Story,6,7,1915,2003,Wd Sdng,698,698,698,1396,0,TA,7,1,384,Normal,153575
291,60,RL,CollgCr,2Story,8,5,2006,2006,VinylSd,1079,1079,840,1919,0,Gd,8,2,685,Partial,233230
292,190,RL,SWISU,2Story,5,6,1912,2000,VinylSd,780,936,780,1716,1,Fa,9,0,0,Normal,135900
293,50,RL,Edwards,1.5Fin,5,4,1949,2008,Wd Sdng,768,1148,568,1716,0,TA,8,1,281,Normal,131000
294,60,RL,NWAmes,2Story,7,7,1977,1994,Plywood,795,1468,795,2263,1,Gd,9,2,539,Normal,235000
295,20,RL,NAmes,1Story,6,5,1953,1953,HdBoard,1416,1644,0,1644,1,TA,7,2,418,Normal,167000
296,80,RL,Mitchel,SLvl,6,6,1984,1984,HdBoard,1003,1003,0,1003,1,TA,6,2,588,Normal,142500
297,50,RM,IDOTRR,1.5Fin,5,5,1950,1950,Wd Sdng,910,910,648,1558,0,TA,6,1,282,Normal,152000
298,60,FV,Somerst,2Story,7,5,1997,1998,VinylSd,975,975,975,1950,0,Gd,7,2,576,Normal,239000
299,60,RL,NWAmes,2Story,6,6,1968,1968,HdBoard,702,1041,702,1743,0,TA,7,2,539,Normal,175000
300,20,RL,Crawfor,1Story,6,8,1950,2004,HdBoard,1092,1152,0,1152,0,Gd,6,1,300,Family,158500
301,190,RL,Crawfor,1Story,5,5,1953,1953,MetalSd,1165,1336,0,1336,1,TA,5,1,375,Normal,157000
302,60,RL,CollgCr,2Story,8,5,1998,1999,VinylSd,1028,1210,1242,2452,0,Gd,9,2,683,Normal,267000
303,20,RL,CollgCr,1Story,7,5,2001,2002,VinylSd,1541,1541,0,1541,0,Gd,6,3,843,Normal,205000
304,20,RL,CollgCr,1Story,5,7,1972,1972,VinylSd,894,894,0,894,1,TA,5,2,552,Abnorml,149900
305,75,RM,OldTown,2.5Fin,7,9,1880,2002,CemntBd,1470,1675,1818,3493,0,Gd,10,3,870,Normal,295000
306,20,RL,CollgCr,1Story,8,5,2004,2005,CemntBd,2000,2000,0,2000,1,Gd,8,3,888,Normal,305900
307,60,RL,SawyerW,2Story,7,5,1990,1991,HdBoard,700,1122,1121,2243,1,Gd,8,3,746,Normal,225000
308,50,RM,IDOTRR,1.5Fin,6,7,1920,1950,MetalSd,319,1035,371,1406,0,Fa,6,0,0,Normal,89500
309,30,RL,Edwards,1Story,4,5,1940,1950,VinylSd,861,861,0,861,0,TA,4,2,539,Normal,82500
310,20,RL,NridgHt,1Story,9,5,2003,2004,VinylSd,1896,1944,0,1944,1,Ex,8,3,708,Normal,360000
311,60,RL,Gilbert,2Story,6,5,1993,1994,HdBoard,697,697,804,1501,0,Gd,6,2,420,Normal,165600
312,20,RL,NAmes,1Story,6,6,1948,2002,VinylSd,972,972,0,972,1,TA,5,1,240,Normal,132000
313,190,RM,OldTown,1.5Fin,5,7,1939,1950,MetalSd,793,793,325,1118,1,TA,5,2,410,Normal,119900
314,20,RL,Timber,1Story,7,5,1965,1965,BrkFace,2136,2036,0,2036,2,TA,8,2,513,Normal,375000
315,70,RM,OldTown,2Story,7,7,1925,1990,Wd Sdng,728,832,809,1641,0,Ex,6,2,546,Normal,178000
316,60,RL,Gilbert,2Story,7,5,2004,2005,VinylSd,716,716,716,1432,1,Gd,6,2,432,Normal,188500
317,60,RL,NWAmes,2Story,7,7,1980,1980,CemntBd,845,1153,1200,2353,1,Ex,10,2,484,Normal,260000
318,60,FV,Somerst,2Story,8,5,2006,2006,VinylSd,1088,1088,871,1959,0,Gd,8,3,1025,Normal,270000
319,60,RL,NoRidge,2Story,7,5,1993,1993,HdBoard,1347,1372,1274,2646,1,Gd,9,3,656,Normal,260000
320,80,RL,NWAmes,SLvl,7,5,1980,1980,Plywood,1372,1472,0,1472,1,TA,6,2,588,Normal,187500
321,60,RL,NridgHt,2Story,9,5,2006,2006,VinylSd,1249,1249,1347,2596,0,Gd,9,3,840,Partial,342643
322,60,RL,NridgHt,2Story,8,5,2004,2004,VinylSd,1136,1136,1332,2468,1,Gd,10,3,872,Normal,354000
323,60,RL,SawyerW,2Story,7,5,1986,1987,Plywood,1502,1553,1177,2730,1,Gd,8,2,576,Normal,301000
324,20,RM,OldTown,1Story,3,8,1955,2005,VinylSd,1162,1163,0,1163,1,TA,6,1,220,Normal,126175
325,80,RL,NAmes,SLvl,7,7,1967,2007,Wd Sdng,710,1898,1080,2978,0,Gd,11,2,564,Normal,242000
326,45,RM,IDOTRR,1.5Unf,5,6,1941,1950,MetalSd,720,803,0,803,0,TA,5,2,360,Normal,87000
327,120,RL,Veenker,1Story,8,5,1993,1993,BrkFace,1719,1719,0,1719,2,Gd,6,2,473,Normal,324000
328,20,RL,NAmes,1Story,6,5,1960,1960,Wd Sdng,1383,1383,0,1383,0,TA,7,1,292,Normal,145250
329,75,RL,BrkSide,2.5Unf,6,6,1916,1994,Wd Sdng,844,1445,689,2134,0,Gd,10,2,441,Normal,214500
330,70,RM,IDOTRR,2Story,5,5,1920,1950,Wd Sdng,596,596,596,1192,0,TA,6,1,189,Normal,78000
331,90,RL,NAmes,1Story,5,4,1964,1964,HdBoard,1728,1728,0,1728,0,TA,10,1,352,Normal,119000
332,20,RL,NAmes,1Story,5,6,1958,1992,Wd Sdng,1056,1056,0,1056,1,TA,6,1,308,Normal,139000
333,20,RL,NridgHt,1Story,8,5,2003,2004,VinylSd,3206,1629,0,1629,1,Gd,7,3,880,Normal,284000
334,120,RM,NridgHt,1Story,7,5,2004,2004,VinylSd,1358,1358,0,1358,1,Gd,6,2,484,Normal,207000
335,60,RL,Gilbert,2Story,6,5,1998,1998,VinylSd,943,943,695,1638,1,TA,7,2,472,Normal,192000
336,190,RL,Timber,1.5Fin,5,6,1965,1965,Plywood,1499,1619,167,1786,2,TA,7,2,529,Normal,228950
337,20,RL,StoneBr,1Story,9,5,2005,2006,VinylSd,1922,1922,0,1922,1,Gd,8,3,676,Normal,377426
338,20,RL,CollgCr,1Story,7,5,2002,2003,VinylSd,1536,1536,0,1536,1,Gd,7,2,532,Normal,214000
339,20,RL,NWAmes,1Story,7,7,1984,1998,Wd Sdng,1208,1621,0,1621,1,Gd,8,2,440,Normal,202500
340,20,RL,NAmes,1Story,6,7,1958,1998,Wd Sdng,1215,1215,0,1215,0,TA,6,1,297,Normal,155000
341,60,RL,Timber,2Story,8,5,2002,2002,VinylSd,967,993,915,1908,0,Gd,9,2,431,Normal,202900
342,20,RH,SawyerW,1Story,4,4,1950,1950,Wd Sdng,721,841,0,841,0,TA,4,1,294,Normal,82000
343,90,RL,NAmes,1Story,3,4,1949,1950,Stucco,0,1040,0,1040,0,TA,6,2,400,Normal,87500
344,120,RL,NridgHt,1Story,9,5,2005,2005,MetalSd,1684,1684,0,1684,0,Ex,6,2,564,Normal,266000
345,160,RM,MeadowV,2Story,5,3,1976,1976,CemntBd,536,536,576,1112,0,TA,4,1,336,Normal,85000
346,50,RL,BrkSide,1.5Fin,6,5,1939,1950,MetalSd,972,972,605,1577,0,Fa,6,1,312,Normal,140200
347,20,RL,NAmes,1Story,6,8,1960,1998,MetalSd,958,958,0,958,0,TA,5,1,301,Normal,151500
348,20,RL,NAmes,1Story,6,5,1960,1960,Wd Sdng,1478,1478,0,1478,1,TA,6,2,498,Normal,157500
349,160,RL,NridgHt,2Story,7,5,2003,2004,VinylSd,764,764,862,1626,1,Gd,6,2,474,Normal,154000
350,60,RL,NridgHt,2Story,9,5,2005,2006,CemntBd,1848,1848,880,2728,1,Ex,10,3,706,Partial,437154
351,120,RL,NridgHt,1Story,9,5,2007,2007,MetalSd,1869,1869,0,1869,0,Ex,6,2,617,Partial,318061
352,120,RL,ClearCr,1Story,7,5,1986,1986,Wd Sdng,1453,1453,0,1453,1,Gd,6,2,445,Abnorml,190000
353,50,RL,Edwards,1.5Fin,5,6,1941,1950,VinylSd,616,616,495,1111,0,TA,5,1,200,Normal,95000
354,30,RM,OldTown,1Story,6,8,1928,2003,VinylSd,624,720,0,720,0,TA,5,2,484,Normal,105900
355,50,RL,SWISU,1.5Fin,6,5,1940,2000,Wd Sdng,940,1192,403,1595,0,TA,6,1,240,Normal,140000
356,20,RL,CollgCr,1Story,6,5,1995,1995,VinylSd,1200,1200,0,1200,1,Gd,6,2,521,Normal,177500
357,20,RL,Gilbert,1Story,6,6,1992,1992,HdBoard,1158,1167,0,1167,1,Gd,6,2,400,Normal,173000
358,120,RM,MeadowV,1Story,5,5,1976,1976,CemntBd,1142,1142,0,1142,1,TA,6,2,528,Normal,134000
359,80,RL,ClearCr,SLvl,5,4,1958,1958,Wd Sdng,1062,1352,0,1352,0,Gd,6,1,288,Abnorml,130000
360,60,RL,NoRidge,2Story,8,5,1998,1998,VinylSd,1086,1086,838,1924,1,Gd,7,2,592,Normal,280000
361,85,RL,Mitchel,SFoyer,6,6,1978,1978,VinylSd,888,912,0,912,1,TA,5,2,470,Normal,156000
362,50,RL,BrkSide,1.5Fin,5,5,1940,1982,MetalSd,883,988,517,1505,1,TA,8,1,240,Normal,145000
363,85,RL,Edwards,SFoyer,7,5,2003,2003,HdBoard,0,495,1427,1922,0,Gd,7,2,672,Normal,198500
364,160,RM,BrDale,2Story,6,8,1972,2007,HdBoard,483,483,504,987,0,Gd,5,1,264,Normal,118000
365,60,RL,NWAmes,2Story,6,5,1976,1976,HdBoard,796,790,784,1574,1,TA,6,2,566,Normal,190000
366,70,RM,IDOTRR,2Story,5,7,1920,1997,VinylSd,672,672,672,1344,0,TA,6,1,468,Normal,147000
367,20,RL,NAmes,1Story,6,5,1963,1963,Plywood,1394,1394,0,1394,1,TA,6,2,514,Normal,159000
368,80,RL,NAmes,SLvl,6,5,1962,1962,Plywood,1099,1431,0,1431,0,TA,6,1,296,Normal,165000
369,20,RL,NAmes,1Story,5,6,1954,1954,HdBoard,1268,1268,0,1268,0,TA,7,1,244,Normal,132000
370,20,RL,NAmes,1Story,5,7,1959,2006,Wd Sdng,1063,1287,0,1287,1,Gd,7,2,576,Normal,162000
371,60,RL,Gilbert,2Story,6,5,2000,2000,VinylSd,953,953,711,1664,0,TA,7,2,460,Normal,172400
372,50,RL,ClearCr,1.5Fin,4,4,1959,1959,WdShing,0,1120,468,1588,0,TA,7,2,680,Normal,134432
373,120,RL,SawyerW,1Story,6,5,1984,1984,Plywood,744,752,0,752,1,TA,4,1,264,Normal,125000
374,20,RL,NAmes,1Story,5,6,1953,1953,MetalSd,608,1319,0,1319,1,TA,5,1,270,Normal,123000
375,60,RL,CollgCr,2Story,7,5,2003,2004,VinylSd,847,847,1081,1928,0,Gd,8,2,434,Normal,219500
376,30,RL,Edwards,1Story,1,1,1922,1950,Wd Sdng,683,904,0,904,1,Fa,4,0,0,Normal,61000
377,85,RL,CollgCr,SFoyer,5,5,1996,1996,VinylSd,870,914,0,914,0,TA,5,2,576,Normal,148000
378,60,FV,Somerst,2Story,8,5,2004,2005,CemntBd,1580,1580,886,2466,0,Gd,8,2,610,Normal,340000
379,20,RL,StoneBr,1Story,9,2,2010,2010,VinylSd,1856,1856,0,1856,1,Ex,8,3,834,Partial,394432
380,60,RL,Gilbert,2Story,6,5,2000,2000,VinylSd,982,1007,793,1800,0,TA,7,2,463,Normal,179000
381,50,RL,SWISU,1.5Fin,5,6,1924,1950,BrkFace,1026,1026,665,1691,0,Gd,6,1,308,Normal,127000
382,20,FV,Somerst,1Story,7,5,2006,2006,VinylSd,1293,1301,0,1301,1,Gd,5,2,572,Partial,187750
383,60,RL,CollgCr,2Story,7,5,2006,2006,VinylSd,939,939,858,1797,0,Gd,8,2,639,Normal,213500
384,45,RH,SawyerW,1.5Unf,6,3,1928,1950,Wd Sdng,784,784,0,784,0,TA,5,2,360,Normal,76000
385,60,RL,ClearCr,2Story,6,5,1992,1992,HdBoard,1580,1079,874,1953,1,Gd,9,2,501,Normal,240000
386,120,RL,Blmngtn,1Story,8,5,2004,2005,VinylSd,1256,1269,0,1269,0,Gd,6,2,430,Normal,192000
387,50,RL,Edwards,1.5Fin,5,3,1910,1996,Wd Sdng,658,658,526,1184,0,TA,8,0,0,AdjLand,81000
388,80,RL,Edwards,SLvl,6,6,1976,1976,MetalSd,1041,1125,0,1125,1,TA,6,1,352,Abnorml,125000
389,20,RL,CollgCr,1Story,7,5,1999,2000,VinylSd,1468,1479,0,1479,0,Gd,6,2,577,Normal,191000
390,60,RL,NridgHt,2Story,10,5,2007,2008,VinylSd,1682,1742,590,2332,1,Ex,9,3,846,Partial,426000
391,50,RL,Edwards,1.5Fin,5,8,1900,1950,MetalSd,861,961,406,1367,1,TA,7,1,384,Normal,119000
392,60,RL,Mitchel,2Story,6,5,2001,2002,VinylSd,804,804,1157,1961,1,Gd,7,2,560,Normal,215000
393,20,RL,NAmes,1Story,5,7,1959,1959,MetalSd,0,882,0,882,0,TA,5,1,294,Normal,106500
394,30,RL,BrkSide,1Story,4,5,1941,1950,WdShing,788,788,0,788,0,TA,4,0,0,Abnorml,100000
395,50,RL,OldTown,1.5Fin,5,6,1940,1950,MetalSd,735,735,299,1034,0,TA,5,1,240,Normal,109000
396,20,RL,Edwards,1Story,5,6,1956,1956,Wd Sdng,1144,1144,0,1144,1,TA,6,1,596,Normal,129000
397,20,RL,CollgCr,1Story,5,5,1972,1972,MetalSd,894,894,0,894,0,TA,6,2,600,Normal,123000
398,60,RL,NAmes,2Story,5,5,1962,1962,VinylSd,864,876,936,1812,0,TA,8,1,264,Normal,169500
399,30,RM,IDOTRR,1Story,5,2,1920,1950,MetalSd,961,1077,0,1077,0,TA,6,1,338,Abnorml,67000
400,60,FV,Somerst,2Story,7,5,2006,2007,CemntBd,1092,1112,438,1550,1,Gd,7,2,438,Normal,241000
401,120,RL,Veenker,1Story,8,5,1996,1996,BrkFace,1260,1288,0,1288,1,Ex,4,2,500,Normal,245500
402,20,RL,CollgCr,1Story,7,5,2005,2005,VinylSd,1310,1310,0,1310,0,Gd,6,2,400,Partial,164990
403,30,RL,Sawyer,1Story,5,8,1940,1997,Wd Sdng,672,672,0,672,0,TA,4,1,240,Normal,108000
404,60,RL,NoRidge,2Story,8,5,1998,1998,VinylSd,1141,1165,1098,2263,0,Gd,10,2,420,Abnorml,258000
405,60,RL,Gilbert,2Story,6,5,1995,1996,MetalSd,806,806,766,1572,0,TA,7,2,373,Normal,168000
406,20,RL,Sawyer,1Story,4,4,1976,1993,Plywood,1281,1620,0,1620,1,TA,8,2,490,Normal,150000
407,50,RL,SWISU,1.5Fin,6,5,1936,1950,MetalSd,1064,1166,0,1639,0,TA,6,1,240,Normal,115000
408,70,RL,Crawfor,2Story,6,7,1915,1976,Wd Sdng,840,840,840,1680,0,TA,8,1,308,Normal,177000
409,60,RL,NridgHt,2Story,7,5,2006,2006,VinylSd,1063,1071,1101,2172,0,Gd,9,3,947,Partial,280000
410,60,FV,Somerst,2Story,8,5,2007,2008,VinylSd,1034,1050,1028,2078,1,Ex,8,3,836,Partial,339750
411,20,RL,Edwards,1Story,5,3,1958,1958,BrkComm,1276,1276,0,1276,0,TA,5,1,350,Abnorml,60000
412,190,RL,Gilbert,1Story,5,5,1955,1955,Wd Sdng,1056,1056,0,1056,1,TA,5,2,572,Normal,145000
413,20,FV,Somerst,1Story,7,5,2009,2009,MetalSd,1470,1478,0,1478,1,Gd,7,2,484,Partial,222000
414,30,RM,OldTown,1Story,5,6,1927,1950,WdShing,1008,1028,0,1028,0,TA,5,2,360,Normal,115000
415,60,RL,SawyerW,2Story,7,5,1993,1993,VinylSd,1080,1080,1017,2097,0,Gd,9,3,678,Normal,228000
416,20,RL,Gilbert,1Story,7,5,2007,2007,VinylSd,1340,1340,0,1340,0,Gd,6,2,396,Partial,181134
417,60,RL,Sawyer,2Story,6,7,1978,1978,HdBoard,672,672,728,1400,0,TA,6,2,440,Normal,149500
418,70,RL,Crawfor,2Story,6,6,1918,1950,Wd Sdng,1370,1370,1254,2624,1,TA,10,3,864,Normal,239000
419,50,RL,Edwards,1.5Fin,5,6,1940,1950,MetalSd,756,756,378,1134,1,TA,7,1,240,AdjLand,126000
420,20,RL,NAmes,1Story,5,6,1968,1968,VinylSd,1056,1056,0,1056,1,TA,6,1,304,Normal,142000
421,90,RM,Mitchel,SFoyer,7,5,1997,1998,VinylSd,1344,1344,0,1344,2,TA,8,4,784,Alloca,206300
422,20,RL,NWAmes,1Story,6,7,1977,2000,CemntBd,1602,1602,0,1602,0,Gd,8,2,529,Normal,215000
423,20,RL,Mitchel,1Story,5,5,1954,1954,HdBoard,988,988,0,988,0,TA,4,2,520,Normal,113000
424,60,RL,NoRidge,2Story,8,5,1998,1998,VinylSd,1470,1470,1160,2630,1,Gd,8,3,696,Normal,315000
425,20,RL,NAmes,1Story,6,5,1956,1956,Wd Sdng,1196,1196,0,1196,1,TA,6,1,297,Normal,139000
426,60,RM,OldTown,2Story,7,8,1946,1992,HdBoard,651,707,682,1389,0,TA,6,1,240,Normal,135000
427,80,RL,SawyerW,SLvl,7,5,1989,1989,Wd Sdng,1518,1644,0,1644,1,Gd,5,2,569,Normal,275000
428,20,RL,NAmes,1Story,4,6,1957,1957,MetalSd,907,907,0,907,0,TA,5,1,352,Normal,109008
429,20,RL,CollgCr,1Story,7,5,2007,2007,VinylSd,1208,1208,0,1208,1,Gd,6,2,628,Partial,195400
430,20,RL,Timber,1Story,6,5,1988,1988,HdBoard,1392,1412,0,1412,1,Gd,6,2,576,Normal,175000
431,160,RM,BrDale,2Story,6,5,1971,1971,HdBoard,483,483,504,987,0,TA,4,1,264,Abnorml,85400
432,50,RM,OldTown,1.5Fin,6,7,1920,1998,MetalSd,901,1088,110,1198,0,TA,7,0,0,Abnorml,79900
433,160,RM,BrDale,2Story,5,5,1971,1971,HdBoard,765,765,600,1365,1,TA,6,2,440,Normal,122500
434,60,RL,Gilbert,2Story,6,5,1997,1998,VinylSd,926,926,678,1604,0,TA,7,2,470,Normal,181000
435,180,RM,MeadowV,SFoyer,4,7,1972,1972,CemntBd,630,630,0,630,1,TA,3,0,0,Normal,81000
436,60,RL,CollgCr,2Story,7,6,1996,1996,VinylSd,799,827,834,1661,1,Gd,6,2,550,Normal,212000
437,50,RM,OldTown,1.5Fin,6,8,1920,1950,Stucco,648,734,384,1118,0,TA,6,2,440,Normal,116000
438,45,RM,BrkSide,1.5Unf,6,7,1926,2004,Wd Sdng,884,904,0,904,0,TA,4,1,180,Normal,119000
439,30,RL,Crawfor,1Story,5,6,1913,2002,WdShing,440,694,0,694,0,Gd,4,1,352,Normal,90350
440,50,RL,Edwards,1.5Fin,6,8,1920,2000,Wd Sdng,684,684,512,1196,0,Gd,7,2,528,Normal,110000
441,20,RL,NridgHt,1Story,10,5,2008,2008,VinylSd,3094,2402,0,2402,1,Ex,10,3,672,Normal,555000
442,90,RL,Edwards,1Story,4,4,1955,1955,VinylSd,1440,1440,0,1440,0,Fa,8,0,0,Normal,118000
443,50,RM,BrkSide,1.5Fin,5,7,1930,1992,MetalSd,1078,1128,445,1573,0,TA,8,2,360,Normal,162900
